,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,win,loss,tie
307,0.0,0.0,0.0,17.0,19.0,0.0,5.0,6.0,22.0,31.0,654,271,12
308,0.0,0.0,1.0,12.0,1.0,24.0,2.0,3.0,34.0,23.0,732,195,10
309,2.0,3.0,5.0,7.0,9.0,12.0,15.0,18.0,16.0,13.0,182,746,9
310,0.0,0.0,0.0,15.0,0.0,0.0,24.0,27.0,34.0,0.0,691,236,10
311,1.0,4.0,6.0,8.0,5.0,12.0,16.0,7.0,20.0,21.0,341,579,17
312,0.0,0.0,1.0,1.0,14.0,20.0,5.0,27.0,30.0,2.0,643,292,2
313,10.0,10.0,10.0,12.0,16.0,20.0,22.0,0.0,0.0,0.0,519,395,23
314,0.0,1.0,2.0,15.0,22.0,2.0,2.0,2.0,32.0,22.0,719,210,8
315,0.0,8.0,6.0,1.0,1.0,5.0,24.0,5.0,24.0,26.0,596,314,27
316,6.0,7.0,8.0,9.0,10.0,14.0,15.0,17.0,14.0,0.0,247,678,12
317,0.0,0.0,0.0,0.0,5.0,15.0,15.0,20.0,20.0,25.0,345,583,9
318,0.0,0.0,0.0,13.0,17.0,1.0,1.0,1.0,31.0,36.0,776,155,6
319,0.0,0.0,0.0,4.0,6.0,11.0,13.0,21.0,22.0,23.0,314,610,13
320,3.0,4.0,5.0,8.0,11.0,14.0,15.0,19.0,19.0,2.0,277,641,19
321,0.0,0.0,0.0,13.0,12.0,13.0,14.0,15.0,16.0,17.0,218,714,5
322,2.0,4.0,6.0,7.0,10.0,10.0,11.0,11.0,19.0,20.0,241,681,15
323,2.0,2.0,5.0,9.0,16.0,18.0,20.0,23.0,1.0,4.0,505,426,6
324,0.0,3.0,0.0,13.0,15.0,0.0,3.0,0.0,33.0,33.0,716,209,12
325,3.0,3.0,4.0,5.0,7.0,24.0,24.0,30.0,0.0,0.0,444,483,10
326,0.0,0.0,12.0,0.0,23.0,0.0,29.0,0.0,36.0,0.0,290,595,52
327,15.0,10.0,10.0,15.0,15.0,15.0,20.0,0.0,0.0,0.0,387,543,7
328,2.0,2.0,3.0,3.0,8.0,12.0,25.0,30.0,15.0,0.0,358,569,10
329,5.0,7.0,7.0,12.0,0.0,0.0,0.0,21.0,23.0,25.0,468,462,7
330,0.0,5.0,6.0,8.0,1.0,20.0,40.0,20.0,0.0,0.0,310,586,41
332,4.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,32.0,643,244,50
333,0.0,8.0,0.0,12.0,16.0,0.0,25.0,0.0,0.0,39.0,688,240,9
334,0.0,0.0,0.0,0.0,10.0,14.0,16.0,18.0,20.0,22.0,263,668,6
335,2.0,4.0,4.0,5.0,5.0,5.0,10.0,10.0,15.0,40.0,399,528,10
336,0.0,9.0,13.0,14.0,0.0,0.0,0.0,0.0,33.0,31.0,659,273,5
337,6.0,5.0,12.0,12.0,14.0,5.0,11.0,14.0,8.0,13.0,347,578,12
338,5.0,7.0,8.0,11.0,15.0,15.0,19.0,20.0,0.0,0.0,397,518,22
339,0.0,0.0,0.0,14.0,15.0,17.0,17.0,18.0,19.0,0.0,325,602,10
340,6.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,31.0,42.0,590,322,25
341,1.0,1.0,1.0,6.0,15.0,15.0,20.0,20.0,20.0,1.0,394,533,10
342,4.0,4.0,5.0,6.0,9.0,12.0,20.0,20.0,19.0,1.0,311,606,20
343,3.0,2.0,5.0,3.0,13.0,1.0,27.0,31.0,11.0,4.0,507,423,7
344,5.0,6.0,7.0,0.0,0.0,0.0,19.0,20.0,21.0,22.0,390,527,20
345,3.0,3.0,3.0,3.0,3.0,21.0,21.0,21.0,21.0,1.0,504,419,14
347,4.0,5.0,5.0,0.0,0.0,0.0,25.0,23.0,20.0,18.0,419,503,15
348,4.0,4.0,5.0,8.0,10.0,14.0,15.0,2.0,19.0,19.0,288,631,18
349,1.0,2.0,4.0,7.0,8.0,13.0,15.0,18.0,15.0,17.0,163,764,10
